Lnumber,LID_CSV,LitList_en,LitList_jp,Link
35,L00006,"Attems, C. (1938) Myriapoda 3. Polydesmoidea II. Fam. Leptodesmidae, Platyrhachidae, Oxydesmidae, Gomphodesmidae. Das Tierreich, 69: 1–487.",,
36,L00007,"Attems, C. (1940) Myriapoda 3. Polydesmoidea III. Fam. Polydesmidae, Vanhoeffeniidae, Cryptodesmidae, Oniscodesmidae, Sphaerotrichopidae, Periodontodesmidae, Rhachidesmidae, Macellolophidae, Pandirodesmidae. Das Tierreich, 70: 1–577.",,
37,L00405,"Attems, C. (1944) Neue Polydesmoidea. Zoologischer Anzeiger, 144(11–12): 223–251.",,
38,L01590,"Attems, C. (1947) Neue Geophilomorpha des Wiener Museums. Annalen des Naturhistorischen Museums in Wien, 55: 50–149.",,
39,L00008,"Attems, C. (1951) Revision systématique des Colobognata (Myriapodes Diplopodes) et description d'espèces nouvelles. Mémoires du Muséum national d'Histoire naturelle, Nouvelle série, Série A, Zoologie, 3(3): 193–231.",,
40,L01252,"Attems, C. (1953) Myriopoden von Indochina Expedition von Dr C. Dawydoff (1938–1939). Mémoires du Muséum national d'Histoire naturelle, Nouvelle série, Série A, Zoologie, 5(3): 133–230.",,
41,L01824,,,
42,L01570,"Barber, A. (2009) Littoral myriapods: a review. Soil Organisms, 81(3): 735–760.",,https://www.soil-organisms.org/index.php/SO/article/view/219
43,L01598,"Barber, A. (2011) <i>Thereuonema tuberculata</i>, a scutigeromorph centipede from China, found in a warehouse at Swindon. Bulletin of the British Myriapod & Isopod Group, 25: 49–50.",,
44,L01407,"Benavides, L. R., Edgecombe, G. D. and Giribet, G. (2023) Re-evaluating and dating myriapod diversification with phylotranscriptomics under a regime of dense taxon sampling. Molecular Phylogenetics and Evolution, 178: 107621.",,https://doi.org/10.1016/j.ympev.2022.107621
45,L01221,"Blower, J. G. (1979) The millipedes fauna of two British lirnestone woods. pp. 203–214. In: Camatini, M. (ed.) Myriapod Biology. Academic Press. London.",,
46,L01794,"Bollman, C. H. (1887) Description of new genera and species of North American Myriopoda[sic] (Julidae). Entomologica Americana, 2(12): 225–229.",,https://www.biodiversitylibrary.org/item/42490#page/245
47,L00009,"Bollman, C. H. (1888 (not 1887)) Description of fourteen new species of North American myriapods. Proceedings of the United States National Museum, 10(670): 617–627",,https://biodiversitylibrary.org/page/7485785
48,L01416,"Bollman, C. H. (1893) The Myriapoda of north America. Bulletin of the United States National Museum, 46: 1–210.",,
49,L01797,"Bollman, C. H. (1893) Classification of the Myriapoda. Bulletin of the United States National Museum, (46): 153–162.",,https://www.biodiversitylibrary.org/item/100787#page/159
50,L01599,"Bolton, S. J., Macleod, N. and Edgecombe, G. D. (2009) Geometric approaches to the taxonomic analysis of centipede gonopods (Chilopoda: Scutigeromorpha). Zoological Journal of the Linnean Society, 156(2): 239–259.",,https://doi.org/10.1111/j.1096-3642.2009.00564.x
51,L01195,"Bonato, L., Barber, A. and Minelli, A. (2006) The European centipedes hitherto referred to <i>Eurygeophilus</i>, <i>Mesogeophilus</i>, and <i>Chalandea</i> (Chilopoda, Geophilomorpha): taxonomy, distribution, and geographical variation in segment number. Journal of Natural History, 40(7–8): 415–438.",,https://doi.org/10.1080/00222930600661839
52,L01516,"Bonato, L., Bortolin, F., Drago, L., Orlando, M. and Dányi, L. (2017) Evolution of <i>Strigamia</i> centipedes (Chilopoda): a first molecular assessment of phylogeny and divergence times. Zoologica Scripta, 46(4): 486–495.",,https://doi.org/10.1111/zsc.12234
53,L01568,"Bonato, L., Dányi, L., Socci, A. A. and Minelli, A. (2012) Species diversity of <i>Strigamia</i> Gray, 1843 (Chilopoda: Linotaeniidae): a preliminary synthesis. Zootaxa, 3593(1): 1–39.",,https://doi.org/10.11646/zootaxa.3593.1.1
54,L01597,"Bonato, L., Edgecombe, G. D., Lewis, J. G. E., Minelli, A., Pereira, L. A., Shelley, R. M. and Zapparoli, M. (2010) A common terminology for the external anatomy of centipedes (Chilopoda). ZooKeys, 69: 17–51.",,https://doi.org/10.3897/zookeys.69.737
55,L01515,"Bonato, L., Foddai, D. and Minelli, A. (2002) A new mecistocephalid centipede from Ryukyu Islands and a revisitation of ‘Taiwanella’ (Chilopoda: Geophilomorpha: Mecistocephalidae). Zootaxa, 86(1): 1–12.",,https://doi.org/10.11646/zootaxa.86.1.1
56,L01524,"Bonato, L., Foddai, D. and Minelli, A. (2003) Evolutionary trends and patterns in centipede segment number based on a cladistic analysis of Mecistocephalidae (Chilopoda: Geophilomorpha). Systematic Entomology, 28(4): 539–579.",,https://doi.org/10.1046/j.1365-3113.2003.00217.x
57,L01798,"Brandt, J. F. (1833) Tentaminum quorundam monographicorum Insecta Myriapoda Chilognatha Latreillii spectantium prodromus. Bulletin de la Société impériale des naturalistes de Moscou, 6: 194–209.",,https://www.biodiversitylibrary.org/page/45989137#page/604
58,L01347,"Brewer, M. S., Spruill, C. L., Rao, N. S. and Bond, J. E. (2012) Phylogenetics of the millipede genus <i>Brachycybe</i> Wood, 1864 (Diplopoda: Platydesmida: Andrognathidae): Patterns of deep evolutionary history and recent speciation. Molecular Phylogenetics and Evolution, 64(1): 232–242.",,https://doi.org/10.1016/j.ympev.2012.04.003
59,L01348,"Brewer, M. S., Swafford, L., Spruill, C. L. and Bond, J. E. (2013) Arthropod phylogenetics in light of three novel millipede (Myriapoda: Diplopoda) mitochondrial genomes with comments on the appropriateness of mitochondrial genome sequence data for inferring deep level relationships. PLOS ONE, 8(7): e68005.",,https://doi.org/10.1371/journal.pone.0068005
60,L01249,"Brölemann, H. W. (1902) Myriapodes du Musée de Saõ Paulo. Revista do Museu Paulista, 5: 35–237.",,https://www.biodiversitylibrary.org/page/10803013
61,L01553,"Brölemann, H. W. (1909) Quelques géophilides des collections du Muséum d'histoire naturelle. Bulletin du Muséum national d'histoire naturelle, 7: 415–432.",,https://www.biodiversitylibrary.org/page/5033290#page/475
62,L01253,"Brölemann, H. W. (1913) Un nouveau système de Spirobolides [Myriapoda. Diplopoda]. Bulletin de la Société entomologique de France, 1913(19): 476–478.",,
63,L00010,"Brölemann, H. W. (1916) Essai de classification des Polydesmiens (Myriapodes). Annales de la Société entomologique de France. 84: 523–608.",,https://biodiversitylibrary.org/page/8559505
64,L01799,"Brölemann, H. W. (1931) Myriapodes recueillis par Madame Pruvot en Nouvelle -Calédonie et aux Loyalty. Archives de Zoologie expérimentale et générale, 72(2): 275–316.",,
65,L01600,"Butler, A. D., Edgecombe, G. D., Ball, A. D. and Giribet, G. (2011 (not 2010)) Resolving the phylogenetic position of enigmatic New Guinea and Seychelles Scutigeromorpha (Chilopoda): a molecular and morphological assessment of Ballonemini. Invertebrate Systematics, 24(6): 539–559.",,https://doi.org/10.1071/IS10037
66,L00011,"Butler, A. G. (1876) Preliminary notice of new species of Arachnida and Myriopoda from Rodriguez, collected by Messrs George Gulliver and H. H. Slater. Annals and Magazine of Natural History, (4)17(102):439–446.",,
67,L00012,"Carl, J. (1902) Exotische Polydesmiden. Revue suisse de Zoologie, 10: 563–679.",,https://biodiversitylibrary.org/page/9477493
68,L01800,"Carl, J. (1912) Die Diplopoden-fauna von Celebes. Revue suisse de Zoologie, 20: 73–206, pls 5–6.",,https://www.biodiversitylibrary.org/item/40643#page/91
